Date,Competition,Time(GMT+2), Home-Team, Score, Away-Team
 18-04-2022 ,Espagne : Liga BBVA,21:00, Barcelone, 0 - 1, Cadix
 18-04-2022 ,Italie : Serie A,19:00, Naples, 1 - 1, Rome
 18-04-2022 ,Portugal : Liga Sagres,21:30, Estoril, 0 - 0, Sporting Braga
 18-04-2022 ,Angleterre : League Championship,13:30, Middlesbrough, 0 - 2, Huddersfield Town
 18-04-2022 ,Espagne : Liga Adelante,19:00, Girona, 2 - 0, Real Sociedad B
 18-04-2022 ,Italie : Serie B,12:30, SPAL, 1 - 1, Crotone
 18-04-2022 ,Turquie : Sucper Lig,19:30, Galatasaray, 2 - 0, Yeni Malatyaspor
 18-04-2022 ,Bresil : Serie A,00:00, Cear\u00e1, 1 - 3, Botafogo
 18-04-2022 ,Argentine : Primera Division,00:00, Boca Juniors, 1 - 1, Lanuas
 18-04-2022 ,Islande : Landsbankadeild Karla,21:15, V\u00edkingur Reykjavik, 2 - 1, FH
 18-04-2022 ,France : National,20:45, Concarneau, 2 - 2, Laval
 18-04-2022 ,France : CFA 2,14:30, Raon-l'Etape, 2 - 1, Saint-Louis Neuweg
 18-04-2022 ,Angleterre : League One,16:00, AFC Wimbledon, 1 - 1, Wycombe
 18-04-2022 ,Angleterre : 2eme ligue,16:00, Carlisle United, 1 - 0, Mansfield Town
 18-04-2022 ,Angleterre : Conference National,14:00, Weymouth, 0 - 0, Yeovil Town
 18-04-2022 ,Angleterre : Conference N/S,16:00, Fylde, 3 - 1, Chester
 18-04-2022 ,Angleterre : Non League Premier,16:00, Bognor Regis Town, 1 - 0, Lewes
 18-04-2022 ,Angleterre : Non League Div One,13:45, Tooting & Mitcham United, 3 - 1, Staines Town
 18-04-2022 ,Angleterre : Counties Leagues,12:00, West Allotment Celtic, 2 - 4, North Shields
 18-04-2022 ,Angleterre : Premier League 2 Division One,20:00, Leicester City U23, 4 - 1, Blackburn Rovers U23
 18-04-2022 ,Angleterre : Premier League 2 Division Two,20:00, Sunderland U23, 1 - 3, Aston Villa U23
 18-04-2022 ,Angleterre : Youth Alliance,11:30, Fleetwood Town U18, 2 - 2, Rochdale U18
 18-04-2022 ,Espagne : Liga Nacional Juvenil,17:30, Roda II, 0 - 0, Hercules U19
 18-04-2022 ,Allemagne : 3. Liga,19:00, Waldhof Mannheim, 0 - 1, Fribourg II
 18-04-2022 ,Allemagne : Regionalliga,14:00, Bayreuth, 4 - 0, Bayern Munich II
 18-04-2022 ,Allemagne : Oberliga,10:45, HEBC, 1 - 0, Dassendorf
 18-04-2022 ,Allemagne : State Leagues,11:30, Altenwerder, 2 - 5, Niendorfer TSV II
 18-04-2022 ,Allemagne : Reg. Cup Niedersachsen Amateure,15:00, BW Lohne, 4 - 1, Lupo-Martini
 18-04-2022 ,Allemagne : Frauen Regionalliga,13:00, Budberg, 1 - 5, Leverkusen II
 18-04-2022 ,Allemagne : DFB Coupe de la Ligue feminin,18:30, Bayer Leverkusen, 1 - 1, Turbine Potsdam*
 18-04-2022 ,Portugal : Liga 3,16:00, Sporting-B, 1 - 1, Oriental Dragon
 18-04-2022 ,Belgique : Promotion,15:00, Raeren, 3 - 2, Jodoigne
 18-04-2022 ,Belgique : Provincial,14:00, Florenville, 0 - 2, Lorrain Arlon
 18-04-2022 ,Belgique : Coupe de Belgique,15:00, La Gantoise*, 0 - 0, Anderlecht
 18-04-2022 ,Belgique : Reserve Pro League,19:30, Standard Liege U21, 1 - 1, Club Brugge U21
 18-04-2022 ,Pays-Bas : Eerste Divisie,20:00, Utrecht II, 0 - 1, Den Bosch
 18-04-2022 ,Pays-Bas : Tweede Divisie,14:30, Katwijk, 2 - 0, AFC
 18-04-2022 ,Pays-Bas : Topklasse,14:00, Hoogland, 0 - 1, HSC '21
 18-04-2022 ,Pays-Bas : Premiere Division,14:00, De Zouaven, 0 - 1, Velsen
 18-04-2022 ,Pays-Bas : Eerste Klasse,14:00, SDZ, 0 - 1, Hoofddorp
 18-04-2022 ,Pays-Bas : Hoofdklasse Women,12:00, DSE, 4 - 1, RKSV Nuenen
 18-04-2022 ,Pays-Bas : Division 1 Dames,11:00, UDI '19, 6 - 0, Hontenisse
 18-04-2022 ,Pays-Bas : Coupe KNVB Feminine,14:30, PSV, 1 - 2, Ajax
 18-04-2022 ,Ecosse : South of Scotland,20:30, Darvel, 2 - 2, Auchinleck Talbot
 18-04-2022 ,Turquie : Bu6lgesel Amatu6r Lig,14:00, Bitlis izguczelderespor, 1 - 2, 1984 Mutspor
